pair_id,active,kalshi_ticker,kalshi_title,kalshi_side_held,kalshi_quantity,polymarket_ticker,polymarket_title,polymarket_side_held,polymarket_quantity,close_time,match_score,max_position_per_pair_usd,min_profit_pct,min_liquidity_usd,cooldown_minutes,notes
KXBTCMINMON-BTC-26APR30-6500000__will-bitcoin-dip-to-65k-in-april-2026-355-765,True,KXBTCMINMON-BTC-26APR30-6500000,"Will BTC trimmed mean be below $65000.00 by 11:59 PM ET on Apr 30, 2026?",,,will-bitcoin-dip-to-65k-in-april-2026-355-765,"Will Bitcoin dip to $65,000 in April?",,,2026-05-01T03:59:59Z,1.0,100.0,1.0,50.0,30,"BTC dip below $65,000 April 2026"
KXBTCMINMON-BTC-26APR30-6000000__will-bitcoin-dip-to-60k-in-april-2026-459-838-781,True,KXBTCMINMON-BTC-26APR30-6000000,"Will BTC trimmed mean be below $60000.00 by 11:59 PM ET on Apr 30, 2026?",,,will-bitcoin-dip-to-60k-in-april-2026-459-838-781,"Will Bitcoin dip to $60,000 in April?",,,2026-05-01T03:59:59Z,1.0,100.0,1.0,50.0,30,"BTC dip below $60,000 April 2026"
KXBTCMINMON-BTC-26APR30-5500000__will-bitcoin-dip-to-55k-in-april-2026-332-247,True,KXBTCMINMON-BTC-26APR30-5500000,"Will BTC trimmed mean be below $55000.00 by 11:59 PM ET on Apr 30, 2026?",,,will-bitcoin-dip-to-55k-in-april-2026-332-247,"Will Bitcoin dip to $55,000 in April?",,,2026-05-01T03:59:59Z,1.0,100.0,1.0,50.0,30,"BTC dip below $55,000 April 2026"
KXBTCMINMON-BTC-26APR30-5000000__will-bitcoin-dip-to-50k-in-april-2026-119-986,True,KXBTCMINMON-BTC-26APR30-5000000,"Will BTC trimmed mean be below $50000.00 by 11:59 PM ET on Apr 30, 2026?",,,will-bitcoin-dip-to-50k-in-april-2026-119-986,"Will Bitcoin dip to $50,000 in April?",,,2026-05-01T03:59:59Z,1.0,100.0,1.0,50.0,30,"BTC dip below $50,000 April 2026"
KXBTCMAXMON-BTC-26APR30-8500000__will-bitcoin-reach-85k-in-april-2026,True,KXBTCMAXMON-BTC-26APR30-8500000,"Will BTC trimmed mean be above $85000.00 by 11:59 PM ET on Apr 30, 2026?",,,will-bitcoin-reach-85k-in-april-2026,"Will Bitcoin reach $85,000 in April?",,,2026-05-01T03:59:59Z,1.0,100.0,1.0,50.0,30,"BTC reach $85,000 April 2026"
KXBTCMAXMON-BTC-26APR30-8250000__will-bitcoin-reach-82500-in-april,True,KXBTCMAXMON-BTC-26APR30-8250000,"Will BTC trimmed mean be above $82500.00 by 11:59 PM ET on Apr 30, 2026?",,,will-bitcoin-reach-82500-in-april,"Will Bitcoin reach $82,500 in April?",,,2026-05-01T03:59:59Z,1.0,100.0,1.0,50.0,30,"BTC reach $82,500 April 2026"
KXBTCMAXMON-BTC-26APR30-8000000__will-bitcoin-reach-80k-in-april-2026-794,True,KXBTCMAXMON-BTC-26APR30-8000000,"Will BTC trimmed mean be above $80000.00 by 11:59 PM ET on Apr 30, 2026?",,,will-bitcoin-reach-80k-in-april-2026-794,"Will Bitcoin reach $80,000 in April?",,,2026-05-01T03:59:59Z,1.0,100.0,1.0,50.0,30,"BTC reach $80,000 April 2026"
