Timestamp,Total_Value_USD,Total_Units
2026-03-28 20:48:04,3170.0,3170.0
2026-03-29 02:58:36,3177.39,3170.0000
2026-03-29 14:42:37,3177.67,3170.0000
2026-03-30 03:59:39,3130.64,3170.0000
2026-03-30 15:07:42,3183.58,3170.0000
2026-03-31 03:55:28,3150.76,3170.0000
2026-03-31 15:05:36,3167.25,3170.0000
2026-04-01 04:04:25,3167.43,3170.0000
2026-04-01 15:08:56,3170.96,3170.0000
2026-04-02 03:52:09,3197.57,3170.0000
2026-04-02 15:01:04,3183.63,3170.0000
2026-04-03 03:53:30,3164.81,3170.0000
2026-04-03 14:53:07,3161.42,3170.0000
2026-04-04 03:46:59,3173.68,3170.0000
2026-04-04 14:42:34,3189.32,3170.0000
2026-04-05 05:36:52,3129.11,3170.0000
2026-04-05 15:21:39,3156.52,3170.0000
2026-04-05 20:17:13,3180.78,3170.0000
2026-04-06 05:39:24,3169.06,3170.0000
2026-04-06 15:45:26,3172.22,3170.0000
2026-04-07 05:46:48,3159.13,3170.0000
2026-04-07 16:28:25,3101.19,3170.0000
2026-04-08 05:49:03,3221.21,3170.0000
2026-04-08 16:22:09,3227.30,3170.0000
2026-04-08 19:50:29,3166.50,3170.0000
2026-04-08 23:31:08,3364.76,3170.0000
2026-04-09 05:39:24,3395.42,3170.0000
2026-04-09 08:12:10,3446.15,3170.0000
2026-04-09 11:58:20,3370.00,3170.0000
2026-04-09 16:31:40,3388.19,3170.0000
2026-04-09 19:47:45,3320.70,3170.0000
2026-04-09 23:34:57,3345.99,3170.0000
2026-04-10 05:53:15,3347.57,3170.0000
2026-04-10 08:23:25,3328.15,3170.0000
2026-04-10 11:54:45,3300.11,3170.0000
2026-04-10 16:06:36,3298.24,3170.0000
2026-04-10 19:37:03,3272.05,3170.0000
2026-04-10 23:23:30,3264.79,3170.0000
2026-04-11 05:30:48,3268.27,3170.0000
2026-04-11 07:48:46,3268.88,3170.0000
2026-04-11 11:27:36,3295.26,3170.0000
2026-04-11 15:43:55,3321.41,3170.0000
2026-04-11 19:19:34,3283.51,3170.0000
2026-04-11 23:18:18,3250.50,3170.0000
2026-04-12 05:56:38,3245.63,3170.0000
2026-04-12 08:16:09,3266.38,3170.0000
2026-04-12 11:33:18,3271.62,3170.0000
2026-04-12 15:49:12,3251.93,3170.0000
2026-04-12 19:22:19,3240.96,3170.0000
2026-04-12 23:20:00,3250.10,3170.0000
2026-04-13 06:13:43,3299.53,3170.0000
2026-04-13 09:04:40,3312.94,3170.0000
2026-04-13 12:23:45,3308.45,3170.0000
2026-04-13 16:23:03,3279.90,3170.0000
2026-04-13 19:45:27,3271.75,3170.0000
2026-04-13 23:35:32,3254.04,3170.0000
2026-04-14 05:55:08,3235.39,3170.0000
2026-04-14 08:22:47,3264.31,3170.0000
2026-04-14 12:02:27,3261.38,3170.0000
2026-04-14 16:28:40,3256.29,3170.0000
2026-04-14 19:54:29,3223.55,3170.0000
2026-04-14 23:38:06,3291.63,3170.0000
2026-04-15 05:54:01,3366.79,3170.0000
2026-04-15 08:24:14,3388.09,3170.0000
2026-04-15 12:03:11,3298.85,3170.0000
2026-04-15 16:19:40,3301.96,3170.0000
2026-04-15 19:53:27,3375.26,3170.0000
2026-04-15 23:38:24,3355.10,3170.0000
2026-04-16 06:00:04,3308.72,3170.0000
2026-04-16 08:25:12,3316.89,3170.0000
2026-04-16 12:03:20,3335.12,3170.0000
2026-04-16 16:28:09,3316.56,3170.0000
2026-04-16 19:59:20,3272.25,3170.0000
2026-04-16 23:30:53,3280.22,3170.0000
2026-04-17 05:57:13,3264.81,3170.0000
2026-04-17 08:26:07,3282.69,3170.0000
2026-04-17 12:00:53,3266.00,3170.0000
2026-04-17 16:11:08,3270.07,3170.0000
2026-04-17 19:36:32,3292.98,3170.0000
2026-04-17 23:29:02,3278.30,3170.0000
2026-04-18 05:41:24,3136.87,3170.0000
2026-04-18 08:04:36,3184.93,3170.0000
2026-04-18 11:34:45,3144.20,3170.0000
2026-04-18 15:51:19,3216.48,3170.0000
2026-04-18 19:24:40,3284.93,3170.0000
2026-04-18 23:20:23,3296.72,3170.0000
2026-04-19 06:00:08,3324.30,3170.0000
2026-04-19 08:21:35,3295.41,3170.0000
2026-04-19 11:34:24,3303.68,3170.0000
2026-04-19 15:48:49,3268.55,3170.0000
2026-04-19 19:23:21,3271.45,3170.0000
2026-04-19 23:21:37,3273.12,3170.0000
2026-04-20 06:13:51,3230.79,3170.0000
2026-04-20 09:06:53,3120.83,3170.0000
2026-04-20 12:24:28,3186.50,3170.0000
2026-04-20 16:25:13,3238.70,3170.0000
2026-04-20 19:44:55,3240.32,3170.0000
2026-04-20 23:34:27,3362.48,3170.0000
2026-04-21 05:57:24,3240.35,3170.0000
2026-04-21 08:26:08,3317.78,3170.0000
2026-04-21 12:07:11,3355.44,3170.0000
2026-04-21 16:24:14,3342.16,3170.0000
2026-04-21 19:45:47,3339.42,3170.0000
2026-04-21 23:33:39,3302.22,3170.0000
2026-04-22 05:53:54,3319.31,3170.0000
2026-04-22 08:26:34,3324.54,3170.0000
2026-04-22 12:07:03,3342.77,3170.0000
2026-04-22 16:25:08,3324.07,3170.0000
2026-04-22 19:46:02,3310.20,3170.0000
2026-04-22 23:39:11,3345.56,3170.0000
2026-04-23 05:58:51,3298.91,3170.0000
2026-04-23 08:29:29,3303.57,3170.0000
2026-04-23 12:10:39,3279.92,3170.0000
2026-04-23 17:00:39,3244.25,3170.0000
2026-04-23 19:59:37,3329.54,3170.0000
2026-04-23 23:33:53,3290.24,3170.0000
2026-04-24 06:02:41,3340.53,3170.0000
